mpan,TOTAL (A),TOTAL (E),eac
1592001094813,0,98169.4,2231.122727
2000052024167,0,98151.2,2230.709091
1200051500075,0,97827.5,2223.352273
2200030356773,0,97813.2,2223.027273
1200061734872,44127.3,97461,3217.915909
1800051642947,44803.1,96910.6,3220.765909
1200010032873,0,96779.1,2199.525
2600002373128,0,96661,2196.840909
1900091626424,0,96266.1,2187.865909
1200052336511,0,96229.2,2187.027273
1600000138047,332447.5,95805.8,9733.029545
2199989667270,0,95555.1,2171.706818
1300035368739,0,94905,2156.931818
1200061735184,0,94579.7,2149.538636
1900092705565,0,94204.2,2141.004545
2200031831595,0,93889.8,2133.859091
1200051500084,0,93756.2,2130.822727
1200010026522,17348.9,93582.3,2521.163636
1023526539230,0,93513,2125.295455
1600000164385,0,93405.1,2122.843182
1170000112069,0,93085.4,2115.577273
1170002060981,0,93045.5,2114.670455
2199989636671,0,92958.5,2112.693182
1160000644749,293203,92478.8,8765.495455
1200010047569,0,91913.2,2088.936364
1200060427582,0,91866.7,2087.879545
1200061458020,18904,91695.4,2513.622727
1900010427532,0,90641.3,2060.029545
3400000409194,0,90368.2,2053.822727
1050003229905,0,90368.2,2053.822727
1200062613264,0,90342.5,2053.238636
1700051847720,4016.6,90119.8,2139.463636
1200061735175,0,89476.7,2033.561364
1630000696003,0,89036.9,2023.565909
1100039640505,173709,89029.2,5971.322727
2000053813593,0,88948.2,2021.55
2000027425052,307129.9,87875.2,8977.388636
2000052448456,0,87636.6,1991.740909
1200052011261,2455.8,87332.7,2040.647727
3400000058753,0,87137.3,1980.393182
1470001691777,1881.3,87137.3,2023.15
1600000169444,0,86769.5,1972.034091
1900046384578,670315.4,86712.5,17205.17955
1200062915260,0,86694.6,1970.331818
1460000288099,0,86619.1,1968.615909
1640000376760,0,86602.7,1968.243182
2000027358195,0,86396.5,1963.556818
1426957100003,0,85984.6,1954.195455
1429596500000,0,85415.5,1941.261364
1200010032181,0,84754.5,1926.238636
1100039674587,0,84164.7,1912.834091
1640000255596,10987.5,83517.2,2147.834091
1160001495101,0,83393.8,1895.313636
2000050805855,96094.8,83027.2,4070.954545
2600003975240,0,82760.7,1880.925
1714813161057,14161.7,82731,2202.106818
1200010260066,0,82321.5,1870.943182
1200061735209,0,81875.3,1860.802273
1100039608947,0,81248.1,1846.547727
2000055168251,0,80892.6,1838.468182
2400000631385,374914.7,80706.4,10355.025
1422614500003,104016.8,80584.3,4195.479545
1200061294230,212582.5,80170.6,6653.479545
1014571246350,0,79804.6,1813.740909
2700007001499,0,79626.7,1809.697727
1200010250360,0,79370.4,1803.872727
2376502728013,0,78953.3,1794.393182
2000050716665,123576.4,78879.1,4601.261364
2000054452774,0,78065.7,1774.220455
2000050929987,0,77703.7,1765.993182
2700006313855,0,77453.9,1760.315909
1200061138187,0,77360.5,1758.193182
2000027286187,0,76943.1,1748.706818
1800036588458,352263.9,76801.2,9751.479545
1714335300507,1738.8,76746.2,1783.75
2380001660374,0,75730.8,1721.154545
1200051228736,992628,75562.5,24277.05682
1570000162485,0,75061.5,1705.943182
2199989677330,0,74790.6,1699.786364
1030036691440,0,74514.7,1693.515909
1200050463991,0,74451.1,1692.070455
1200010088760,0,73222.3,1664.143182
2199989628555,0,73023.8,1659.631818
1023480026339,0,72902.6,1656.877273
1023496268478,0,72403.6,1645.536364
1200060925709,0,72358.6,1644.513636
2199989616940,0,72306.6,1643.331818
2000027356259,0,72244.7,1641.925
1900091720553,0,72009.9,1636.588636
1580001845472,39686.1,71485.3,2526.622727
1460002053750,0,71384.9,1622.384091
1200050428375,0,71308.8,1620.654545
1200060919398,0,71152,1617.090909
2380002961730,0,71144.3,1616.915909
1200010045561,0,70868.8,1610.654545
1300035368000,35284.4,70791,2410.804545
1014569771828,0,70484.7,1601.925
2400000631376,330629.3,70477.7,9116.068182
1030066672403,0,70475.5,1601.715909
2380002198970,0,70412.4,1600.281818
2000027470366,953905.7,69848.7,23267.14545
1800035324878,0,69552.8,1580.745455
2600004092285,0,69497.3,1579.484091
1200010013870,13503.6,69244.6,1880.640909
2500001296416,0,69088.8,1570.2
1650000334924,0,68995.6,1568.081818
1200010182560,0,68952.9,1567.111364
2200041015242,0,68454.4,1555.781818
1200051052090,0,68401.5,1554.579545
1014571812155,0,68368,1553.818182
1170000382723,30716.9,68361.7,2251.786364
1200061483816,0,68348.2,1553.368182
2000027372915,0,68263.8,1551.45
2700004942435,0,68178.4,1549.509091
2500000651855,271351.1,68116.8,7715.179545
1640000295419,0,68009.3,1545.665909
1570000220792,2112.3,67996.6,1593.384091
1023544509594,0,67993.2,1545.3
1620000002710,0,67628.4,1537.009091
1600000164989,0,67063.7,1524.175
1200062487811,0,66715.1,1516.252273
2336520126015,0,66486.9,1511.065909
2400000467626,0,66405.6,1509.218182
1200010026754,0,66373.1,1508.479545
1300037718113,0,66340.9,1507.747727
2199989610265,47144.1,66105.6,2573.856818
1900092789741,0,65934.3,1498.506818
1592001088980,0,65924.4,1498.281818
1023476886373,0,65902.4,1497.781818
1580000014222,0,64925.4,1475.577273
1712856724502,0,64683.6,1470.081818
1800061585826,0,64680.9,1470.020455
1030078487967,0,64648.8,1469.290909
2000027359524,0,64145,1457.840909
1713564055809,0,64035.1,1455.343182
1592001105786,0,63944.9,1453.293182
1023545903863,0,63788.4,1449.736364
1711982144752,0,63545.5,1444.215909
1100039615207,0,63332.2,1439.368182
2366540979011,25953.4,63281.6,2028.068182
2000053658100,0,63216.1,1436.729545
1030038099044,4953.6,62870.9,1541.465909
2380002950989,0,62424.1,1418.729545
1200062158849,0,62296.6,1415.831818
2316541340414,7864.9,62156.4,1591.393182
2200042475790,1162691.7,62030.7,27834.6
1800036765160,3436.3,61983.5,1486.813636
1014573118321,0,61928.7,1407.470455
1900031426710,25154.2,61642,1972.640909
1300037719320,0,61578.6,1399.513636
2000051974137,25227.8,61573.1,1972.747727
1100050546854,1367591.5,61405,32477.19318
1200050978475,0,60440,1373.636364
1200062179031,0,60225.2,1368.754545
2700000696535,0,59865.8,1360.586364
1100039658140,0,59825.7,1359.675
1800060360632,65761.7,59788.5,2853.413636
1800060500228,0,59747.7,1357.902273
1420674000001,42365.1,59668.3,2318.940909
1014571564447,0,59610,1354.772727
2200030357410,0,59579.2,1354.072727
1620001221178,0,59530.6,1352.968182
1200010155194,0,59439.2,1350.890909
1014568701634,0,59214.5,1345.784091
1100039637256,47414.6,59125,2421.354545
1800035342840,0,59123.4,1343.713636
1030012097543,0,59114.7,1343.515909
1160001263551,164891.7,59080.1,5090.268182
2000027494604,0,59036.6,1341.740909
1800035346019,0,59017.2,1341.3
1170001624518,0,59009.8,1341.131818
1200061294249,270840,58930.6,7494.786364
1600000175962,0,58761.9,1335.497727
1700051230116,156.4,58012.7,1322.025
2200030146648,2379.5,57984.8,1371.915909
1700051804391,3530.1,57492.5,1386.877273
1014568812492,0,57402.7,1304.606818
1200051337286,0,57376.7,1304.015909
1580001618208,0,57311.1,1302.525
1700052355084,0,57203.8,1300.086364
1200010045330,0,57024.1,1296.002273
2000027436356,0,56921.5,1293.670455
2000052311840,0,56544.5,1285.102273
1030073186695,0,56543.6,1285.081818
2000027351942,0,56527.6,1284.718182
2700001556021,0,56495.7,1283.993182
1200010116186,23772,56494.3,1824.234091
1014573172374,0,56287.2,1279.254545
2000027357545,0,56191.9,1277.088636
1014572940530,0,56118.8,1275.427273
2000057803631,0,56037.5,1273.579545
